id,name,is_potentially_hazardous_asteroid,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_km_sec,miss_distance_km,searching_date
54336642,(2022 YK4),False,0.0189040552,0.0422707525,2.2784353755,4553567.124014281,2023-03-29
54342181,(2023 CE4),False,0.062194929,0.1390720892,10.2515152745,7769495.169562012,2023-03-29
54351346,(2023 EG3),False,0.0662452856,0.1481289617,4.7898481528,37193740.07534218,2023-03-29
2477524,477524 (2010 EH43),False,0.4704949611,1.0520587161,19.1147157462,42870470.59412439,2023-03-28
3560816,(2011 FR29),False,0.1289896833,0.2884297004,9.1295546486,57933291.82558542,2023-03-28
3638434,(2013 JN22),False,0.3841978911,0.8590926012,30.3369148552,40104874.30891621,2023-03-28
3752014,(2016 GY221),False,0.0334622374,0.0748238376,11.5329554609,40419892.88098803,2023-03-28
3773912,(2017 GL6),False,0.0643509521,0.1438931032,13.7251135619,30355978.36320021,2023-03-28
3781318,(2017 RB),False,0.0063760979,0.0142573883,6.5446181358,47314059.8865818,2023-03-28
3831074,(2018 SE3),False,0.0555334912,0.1241766613,18.219348643,27898498.8326531,2023-03-28
3831613,(2018 TL3),False,0.0350392641,0.0783501764,18.3465466572,39198605.9394799,2023-03-28
3841532,(2019 HM),False,0.0175612318,0.0392681082,12.4448958684,58296002.16869366,2023-03-28
54017197,(2020 KP3),False,0.0175612318,0.0392681082,15.2706711773,40113692.17584592,2023-03-28
54203710,(2021 TC4),False,0.0130784109,0.0292442157,5.7912882597,10128731.87898717,2023-03-28
54312933,(2022 TU),False,0.0492668706,0.1101640716,9.1315659142,35742629.03778874,2023-03-28
54316645,(2022 TW2),False,0.0051588747,0.0115355944,4.5740591208,26081230.313152377,2023-03-28
54331806,(2022 WK14),False,0.0244655496,0.0547066321,4.1593350593,38897841.14222041,2023-03-28
54350901,(2023 FM2),False,0.0351685916,0.0786393615,15.435559225,9661553.18443714,2023-03-28
54351720,(2023 FH3),False,0.023033237,0.0515038837,3.8959117122,24008758.433920633,2023-03-28
54351840,(2023 FU3),False,0.0137960569,0.030848921,7.5173046396,4648082.011095191,2023-03-28
54352573,(2023 FD6),False,0.0378752036,0.08469153,1.930286661,34566453.2292606,2023-03-28
